leftid,rightid,region,note
992646,15599768,,
1622901,6156152,,
1646076,10276161,,
1678567,6153877,,
1679034,14374534,,
1924051,17698681,,
1961182,9177218,,
2142817,17415439,,
2204467,2512602,,
2369444,10119916,,
2379544,10681487,,
2438653,10627239,,
2439067,3814853,,
2439134,4099900,,
2439150,11851588,,
2568465,10167078,,
2597151,3158085,,
2612527,4391978,,
2628785,4311586,,
2652641,12882179,,
2797480,13713529,,
2964760,10855798,,
2966602,12704069,,
2979486,9585145,,
2979675,7422253,,
2988292,19046339,,
3043970,16181130,,
3044500,6317793,,
3046503,2355126,,
3048606,3009700,,
3060480,17380080,,
3061422,3272218,,
3157405,8752697,,
3158123,15225589,,
3281684,15202263,,
3414508,3498479,,
3450442,4700078,,
3486381,8244723,,
3486867,5478818,,
3539170,8159396,,
3543931,13795090,,
3650006,15829660,,
3729496,3762317,,
3814651,15732471,,
3814701,9761454,,
3819859,4127944,,
3820148,2920554,,
3886356,5966099,,
3925724,5955853,,
3926438,3727004,,
3926669,3727026,,
3926904,7529574,,
3928522,16434842,,
3928574,5890323,,
3928652,12704360,,
3931398,3793760,,
3944330,15732050,,
3944626,16195633,,
3945136,13948718,,
3945225,3793681,,
3945232,9841469,,
3945246,19271710,,
3945394,3729504,,
3945454,11637003,,
3945756,8566140,,
3946166,3620633,,
3946364,6133702,,
3946432,2935173,,
3946569,8813113,,
3979181,5794678,,
4108016,3002410,,
4110483,17587726,,
4117305,16720240,KC,
16631114,9556700,KC,
4154421,3690921,,
4188290,5010581,,
4260935,3756659,,
4274518,19156025,,
4279887,10293348,,
4324479,19950281,,
4324567,15732509,,
4354933,14604028,,
4379508,3794023,,
4379603,8307514,,
4381129,15404207,,
4381377,10673895,,
4391317,11826171,,
4393026,16131474,,
4398543,17380092,,
4400767,13751194,,
4401350,4598363,,
4408362,4721087,,
4408369,16758011,,
4408397,4199033,,
4409374,4234559,,
12726582,4415241,KC multi,
6704232,8559607,KC multi,
16939375,8924186,KC multi,
4412315,3347708,KC,
4414163,4414184,,
4422289,11605861,,
4433197,15668497,,
4433960,13806524,,
4453485,2283495,,
4493199,8244823,,
4506509,2852273,,
4523584,2659386,,
4523803,13793212,,
4570270,2921933,,
4607160,9287199,,
4635057,7971031,,
4636432,9808146,,
4637677,17913185,,
4664256,17326218,,
4665186,17671219,,
4680995,17806341,,
4721538,8069365,,
4749004,17323054,,
4778745,4319395,,
4780707,15683275,,
